Month,Nitrogen Dioxide (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
2015-12-01,47.2,32.6,24.1,11.9,1.6
2016-01-01,60,23.8,23.2,13.6,3.9
2016-02-01,58.7,27.4,23.1,13,4.1
2016-03-01,57.6,30.2,26.1,18,3.5
2016-04-01,58.8,33.9,21.1,12.5,5.9
2016-05-01,50.9,39.6,22.4,13.8,4
2016-06-01,48.7,31.5,21.3,12.6,6.1
2016-07-01,45.4,24.2,17,10.9,2.5
2016-08-01,47.6,27.2,20.7,12.7,2
2016-09-01,54.7,21.6,21.5,12.9,2.5
2016-10-01,58.3,15.3,24.3,16.7,5
2016-11-01,66.1,15.4,24.6,14.5,6.1
2016-12-01,69.7,11.1,33.2,23.9,5.8
2017-01-01,71.6,12.8,31.8,23.8,8.5
2017-02-01,54,25.5,26,18.4,5.1
2017-03-01,52.3,33.6,23.3,13.5,2.4
2017-04-01,50.8,38.3,22.7,12.8,3.4
2017-05-01,47,34.3,22.8,12.8,2.1
2017-06-01,44.6,33.9,21.3,11,3.2
